ID,NAME,TIME,P,CY,DONG,SIZE,F,LAT,LON,D_P,D_HS,D_R,D_U,D_HP,D_M,D_S,BRAND,N_H,N_D,HEAT,HIGHEST,LOWEST,PARK,YONG,GUN
12087,신동아,2007Q3,29600,1992,수서동,39.53,14,37.4864785,127.0335393,1101.369771,280.4598792,897.6093291,1535.829866,1328.273043,503.1183806,278.9742818,0,1162,8,지역난방,15,15,0.27,203,17
12088,신동아,2013Q2,70500,1997,청담동,84.94,8,37.5224412,127.0505804,206.7579988,681.3282445,846.6139122,1828.076442,380.83766,1336.459786,389.1520365,0,12,2,개별난방,6,6,0,87,0
12089,신동아,2013Q2,70500,1997,청담동,84.94,8,37.5224412,127.0505804,206.7579988,681.3282445,846.6139122,1828.076442,380.83766,1336.459786,389.1520365,0,106,1,개별난방,14,10,0.9,285,26
12090,신동아,2013Q2,70500,1997,청담동,84.94,8,37.5224412,127.0505804,206.7579988,681.3282445,846.6139122,1828.076442,380.83766,1336.459786,389.1520365,0,1162,8,지역난방,15,15,0.27,203,17
12091,신동아,2008Q2,46000,1992,수서동,49.96,8,37.4896733,127.0544429,834.1249304,205.2994172,582.6632887,3320.467744,797.3071245,1045.964643,153.3778238,0,12,2,개별난방,6,6,0,87,0
12092,신동아,2008Q2,46000,1992,수서동,49.96,8,37.4896733,127.0544429,834.1249304,205.2994172,582.6632887,3320.467744,797.3071245,1045.964643,153.3778238,0,106,1,개별난방,14,10,0.9,285,26
12093,신동아,2008Q2,46000,1992,수서동,49.96,8,37.4896733,127.0544429,834.1249304,205.2994172,582.6632887,3320.467744,797.3071245,1045.964643,153.3778238,0,1162,8,지역난방,15,15,0.27,203,17
12094,신동아,2012Q1,29500,1992,수서동,33.18,8,37.4898431,127.0370341,708.5240001,206.8757217,463.0687925,1782.857933,882.0585164,945.021778,679.718217,0,12,2,개별난방,6,6,0,87,0
12095,신동아,2012Q1,29500,1992,수서동,33.18,8,37.4898431,127.0370341,708.5240001,206.8757217,463.0687925,1782.857933,882.0585164,945.021778,679.718217,0,106,1,개별난방,14,10,0.9,285,26
12096,신동아,2012Q1,29500,1992,수서동,33.18,8,37.4898431,127.0370341,708.5240001,206.8757217,463.0687925,1782.857933,882.0585164,945.021778,679.718217,0,1162,8,지역난방,15,15,0.27,203,17
12097,신동아,2007Q4,35250,1992,수서동,39.53,11,37.4871144,127.0386698,665.3910277,332.4104217,509.3812602,1960.332831,923.6178968,938.0927032,501.0765402,0,12,2,개별난방,6,6,0,87,0
12098,신동아,2007Q4,35250,1992,수서동,39.53,11,37.4871144,127.0386698,665.3910277,332.4104217,509.3812602,1960.332831,923.6178968,938.0927032,501.0765402,0,106,1,개별난방,14,10,0.9,285,26
12099,신동아,2007Q4,35250,1992,수서동,39.53,11,37.4871144,127.0386698,665.3910277,332.4104217,509.3812602,1960.332831,923.6178968,938.0927032,501.0765402,0,1162,8,지역난방,15,15,0.27,203,17
12100,신동아,2008Q2,45500,1992,수서동,49.96,8,37.489365,127.1035545,1015.045805,149.6353083,991.8277424,4166.667532,1387.15146,1909.012043,266.4291378,0,12,2,개별난방,6,6,0,87,0
12101,신동아,2008Q2,45500,1992,수서동,49.96,8,37.489365,127.1035545,1015.045805,149.6353083,991.8277424,4166.667532,1387.15146,1909.012043,266.4291378,0,106,1,개별난방,14,10,0.9,285,26
12102,신동아,2008Q2,45500,1992,수서동,49.96,8,37.489365,127.1035545,1015.045805,149.6353083,991.8277424,4166.667532,1387.15146,1909.012043,266.4291378,0,1162,8,지역난방,15,15,0.27,203,17
12103,신동아,2007Q3,28050,1992,수서동,39.51,1,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,12,2,개별난방,6,6,0,87,0
12104,신동아,2007Q3,28050,1992,수서동,39.51,1,37.4872297,127.09869,581.7909484,419.7881887,1394.066253,4614.075846,992.3794605,1449.784333,280.1024571,0,106,1,개별난방,14,10,0.9,285,26
